namespace,oldKey,newKeySuggestion,text
applications,div_applications_01,applications.sections.title,"Applications"
applications,div_browse_and_install_apps_to_02,applications.body.browse-install-apps,"Browse and install apps to simplify your life with mentalhealthGPT"
applications,div_suggested_apps_03,applications.sections.suggested-apps,"Suggested apps"
applications,inputplaceholder_search_by_app_name_or_04,applications.form.search-placeholder,"Search by app name or category"
audio-transcription,chat_hello_how_can_i_assist_01,audio-transcription.chat.greeting,"Hello! How can I assist you with audio transcription today?"
audio-transcription,answer_our_ai_can_securely_transcribe_02,audio-transcription.text.capability,"Our AI can securely transcribe audio recordings from therapy sessions, structure the content, and generate clear, professional summaries — all with end-to-end encryption."
audio-transcription,answer_simply_upload_a_recorded_session_03,audio-transcription.text.upload-instructions,"Simply upload a recorded session. All patient information remains strictly confidential and is protected by strong encryption directly in your browser, during transfer, and back again — ensuring full privacy at every step."
audio-transcription,div_the_ai_model_for_04,audio-transcription.sections.banner-prefix,"🚧 The AI model for"
audio-transcription,p_audio_transcription_notes_05,audio-transcription.sections.title,"Audio Transcription & Notes"
audio-transcription,div_is_currently_under_development_06,audio-transcription.sections.under-development,"is currently under development."
audio-transcription,div_it_will_soon_provide_accurate_07,audio-transcription.sections.coming-soon,"It will soon provide accurate transcription and note-taking support for clinical documentation."
audio-transcription,chattitle_audio_transcription_notes_08,audio-transcription.chat.title,"Audio Transcription & Notes"
checkout,div_ai_chat_made_affordable_01,checkout.sections.hero-title,"AI chat made affordable"
checkout,div_pricing_plans_for_every_budget_02,checkout.body.hero-subtitle,"Pricing Plans for every budget - Unlock the power of AI"
checkout,div_enterprise_01,checkout.sections.enterprise,"Enterprise"
checkout,div_popular_02,checkout.sections.popular,"Popular"
checkout,fragment_399_03,checkout.fragments.price-399,"$399"
checkout,div_monthly_plan_04,checkout.sections.monthly-plan,"Monthly Plan"
checkout,div_plan_01,checkout.sections.plan,"Plan"
checkout,div_change_currency_02,checkout.sections.change-currency,"Change currency"
checkout,div_usd_03,checkout.sections.usd,"USD"
checkout,div_billing_email_04,checkout.sections.billing-email,"Billing email"
